userName,label,test_id,Id,predict_value
czc,posLen_tp_7_rand_c,0,60,1
czc,posLen_tp_7_rand_c,0,76,0.61
czc,posLen_tp_7_rand_c,0,81,0.55
czc,posLen_tp_7_rand_c,0,56,0.5
czc,posLen_tp_7_rand_c,0,195,0.75
czc,posLen_tp_7_rand_c,1,475,0.93
czc,posLen_tp_7_rand_c,1,867,0.85
czc,posLen_tp_7_rand_c,1,465,0.65
czc,posLen_tp_7_rand_c,1,16,0.55
czc,posLen_tp_7_rand_c,1,147,0.9
czc,posLen_tp_7_rand_c,2,65,0.3
czc,posLen_tp_7_rand_c,2,85,0.15
czc,posLen_tp_7_rand_c,2,27,0.16
czc,posLen_tp_7_rand_c,2,52,0.6
czc,posLen_tp_7_rand_c,2,745,0.95
czc,posLen_tp_7_rand_c,3,405,0.6
czc,posLen_tp_7_rand_c,3,453,0.17
czc,posLen_tp_7_rand_c,3,878,0.61
czc,posLen_tp_7_rand_c,3,51,0.14
czc,posLen_tp_7_rand_c,3,254,0.55
czc,posLen_tp_7_rand_c,4,45,0.4
czc,posLen_tp_7_rand_c,4,875,0.75
czc,posLen_tp_7_rand_c,4,78,0.95
czc,posLen_tp_7_rand_c,4,36,0.6
czc,posLen_tp_7_rand_c,4,54,0.5
czc,posLen_tp_7_rand_c,5,278,0.16
czc,posLen_tp_7_rand_c,5,25,0.85
czc,posLen_tp_7_rand_c,5,63,0.6
czc,posLen_tp_7_rand_c,5,245,0.9
czc,posLen_tp_7_rand_c,5,87,0.4
czc,posLen_tp_7_rand_c,6,245,0.17
czc,posLen_tp_7_rand_c,6,235,0.86
czc,posLen_tp_7_rand_c,6,63,0.61
czc,posLen_tp_7_rand_c,6,21,0.91
czc,posLen_tp_7_rand_c,6,45,0.41
czc,posLen_tp_7_rand_c,7,78,0.24
czc,posLen_tp_7_rand_c,7,738,0.93
czc,posLen_tp_7_rand_c,7,78,0.68
czc,posLen_tp_7_rand_c,7,271,0.98
czc,posLen_tp_7_rand_c,7,782,0.48
czc,posLen_tp_7_rand_c,8,587,0.2
czc,posLen_tp_7_rand_c,8,372,0.89
czc,posLen_tp_7_rand_c,8,63,0.64
czc,posLen_tp_7_rand_c,8,78,0.94
czc,posLen_tp_7_rand_c,8,555,0.44
